Date,Open,High,Low,Close,Adj Close,Volume
01/01/18,270.4354858,270.4354858,270.4354858,270.4354858,202.7354889,0
01/02/18,272.9165649,280.3597412,265.4733887,267.9544373,200.8755341,9840956
01/03/18,267.9544373,275.3976135,265.4733887,272.9165649,204.5954437,17716624
01/04/18,275.3976135,275.3976135,270.4354858,272.9165649,204.5954437,2728068
01/05/18,272.9165649,290.2839661,270.4354858,282.8407898,212.0353241,35399190
01/08/18,285.3218384,287.8029175,280.3597412,282.8407898,212.0353241,7067141
01/09/18,282.8407898,285.3218384,277.8786621,280.3597412,210.1753082,2797595
01/10/18,282.8407898,282.8407898,280.3597412,282.8407898,212.0353241,2979573
01/11/18,280.3597412,282.8407898,277.8786621,282.8407898,212.0353241,3586370
01/12/18,282.8407898,282.8407898,277.8786621,282.8407898,212.0353241,3082352
01/15/18,282.8407898,285.3218384,280.3597412,282.8407898,212.0353241,22690708
01/16/18,282.8407898,290.2839661,282.8407898,287.8029175,215.7552338,21146207
01/17/18,292.7650452,292.7650452,285.3218384,287.8029175,215.7552338,5854555
01/18/18,290.2839661,290.2839661,285.3218384,287.8029175,215.7552338,3544856
01/19/18,287.8029175,297.7271423,287.8029175,295.2460938,221.335083,22618561
01/22/18,295.2460938,300.2082214,292.7650452,297.7271423,223.1950226,22752375
01/23/18,297.7271423,300.2082214,292.7650452,297.7271423,223.1950226,7909725
01/24/18,297.7271423,300.2082214,292.7650452,297.7271423,223.1950226,5109510
01/25/18,295.2460938,302.68927,292.7650452,297.7271423,223.1950226,19717785
01/26/18,297.7271423,300.2082214,292.7650452,300.2082214,225.0549927,26512664
01/29/18,300.2082214,305.1703186,300.2082214,305.1703186,228.7749329,10457225
01/30/18,305.1703186,315.094574,305.1703186,310.1324463,232.4948578,25560450
01/31/18,310.1324463,315.094574,307.6513977,307.6513977,230.6348724,11759088
02/01/18,312.6134949,327.4998779,310.1324463,322.5377502,241.7946625,37084357
02/02/18,322.5377502,337.4241028,322.5377502,334.9430542,251.0944214,42627754
02/05/18,337.4241028,337.4241028,312.6134949,334.9430542,251.0944214,24528632
02/06/18,332.4619751,332.4619751,315.094574,325.0187988,243.6545868,29395908
02/07/18,327.4998779,334.9430542,325.0187988,325.0187988,243.6545868,20968863
02/08/18,325.0187988,332.4619751,325.0187988,329.9809265,247.374527,11059387
02/09/18,329.9809265,329.9809265,322.5377502,327.4998779,245.5145416,7055856
02/12/18,327.4998779,332.4619751,325.0187988,327.4998779,245.5145416,14909758
02/13/18,327.4998779,329.9809265,325.0187988,327.4998779,245.5145416,9771631
02/14/18,327.4998779,347.3483276,325.0187988,339.9051514,254.8143158,29239724
02/15/18,339.9051514,342.3862305,337.4241028,337.4241028,252.9543457,6503269
02/16/18,337.4241028,337.4241028,337.4241028,337.4241028,252.9543457,0
02/19/18,337.4241028,339.9051514,332.4619751,337.4241028,252.9543457,6003483
02/20/18,342.3862305,342.3862305,337.4241028,339.9051514,254.8143158,4844704
02/21/18,339.9051514,342.3862305,337.4241028,337.4241028,252.9543457,3633326
02/22/18,337.4241028,342.3862305,337.4241028,337.4241028,252.9543457,5797724
02/23/18,339.9051514,342.3862305,337.4241028,342.3862305,256.6743469,9327667
02/26/18,342.3862305,342.3862305,337.4241028,337.4241028,252.9543457,5491605
02/27/18,339.9051514,342.3862305,337.4241028,337.4241028,252.9543457,13491010
02/28/18,337.4241028,342.3862305,337.4241028,337.4241028,252.9543457,3100086
03/01/18,337.4241028,342.3862305,337.4241028,339.9051514,254.8143158,8424626
03/02/18,339.9051514,342.3862305,339.9051514,339.9051514,254.8143158,1984837
03/05/18,339.9051514,339.9051514,337.4241028,339.9051514,254.8143158,2968086
03/06/18,339.9051514,342.3862305,287.8029175,337.4241028,252.9543457,23752351
03/07/18,334.9430542,339.9051514,334.9430542,339.9051514,254.8143158,13558320
03/08/18,339.9051514,342.3862305,337.4241028,342.3862305,256.6743469,13927517
03/09/18,342.3862305,342.3862305,339.9051514,342.3862305,256.6743469,9960260
03/12/18,342.3862305,342.3862305,339.9051514,339.9051514,254.8143158,3760087
03/13/18,339.9051514,342.3862305,339.9051514,339.9051514,254.8143158,7070970
03/14/18,339.9051514,342.3862305,339.9051514,342.3862305,256.6743469,5173999
03/15/18,339.9051514,342.3862305,332.4619751,339.9051514,254.8143158,4564582
03/16/18,339.9051514,339.9051514,332.4619751,337.4241028,252.9543457,3047085
03/19/18,339.9051514,339.9051514,334.9430542,334.9430542,251.0944214,3429784
